@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
49,1.69897,5,0.778151,0,0,'out of focus',4811,3.682326,1
73,1.869232,2,0.477121,2,0.477121,'out of focus',5225,3.718169,1
90,1.959041,25,1.414973,23,1.380211,'out of focus',5442,3.735838,1
95,1.982271,25,1.414973,23,1.380211,'out of focus',5363,3.729489,1
100,2.004321,25,1.414973,23,1.380211,'out of focus',5078,3.705778,1
105,2.025306,25,1.414973,19,1.30103,'out of focus',4922,3.69223,1
11,1.079181,30,1.491362,5,0.778151,'out of focus',5306,3.724849,1
45,1.662758,59,1.778151,55,1.748188,'out of focus',4178,3.621072,0
56,1.755875,59,1.778151,46,1.672098,'out of focus',4771,3.6787,1
75,1.880814,55,1.748188,0,0,'out of focus',4831,3.684127,1
81,1.913814,55,1.748188,0,0,'out of focus',5052,3.703549,1
83,1.924279,49,1.69897,0,0,'out of focus',5025,3.701222,1
84,1.929419,46,1.672098,0,0,'out of focus',5036,3.702172,1
89,1.954243,46,1.672098,0,0,'out of focus',5140,3.711048,1
191,2.283301,28,1.462398,20,1.322219,'out of focus',4985,3.697752,1
196,2.294466,32,1.518514,21,1.342423,'out of focus',4873,3.687886,1
202,2.307496,32,1.518514,16,1.230449,'out of focus',4790,3.680426,1
204,2.311754,34,1.544068,18,1.278754,'out of focus',4727,3.674677,1
216,2.33646,46,1.672098,26,1.431364,'out of focus',4646,3.667173,1
1,0.30103,75,1.880814,54,1.740363,'out of focus',4681,3.670431,1
4,0.69897,76,1.886491,56,1.755875,'out of focus',4724,3.674402,1
1,0.30103,88,1.94939,72,1.863323,'out of focus',4827,3.683767,1
10,1.041393,84,1.929419,63,1.80618,'out of focus',5268,3.721728,1
3,0.60206,105,2.025306,69,1.845098,'out of focus',4668,3.669224,0
13,1.146128,101,2.0086,29,1.477121,'out of focus',4440,3.647481,1
17,1.255273,96,1.986772,29,1.477121,'out of focus',4304,3.633973,1
30,1.491362,81,1.913814,0,0,'out of focus',4279,3.631444,1
37,1.579784,48,1.690196,0,0,'out of focus',4285,3.632052,1
47,1.681241,29,1.477121,0,0,'out of focus',4268,3.630326,1
10,1.041393,3,0.60206,3,0.60206,'out of focus',3453,3.538322,0
31,1.50515,3,0.60206,0,0,'out of focus',3242,3.510947,0
42,1.633468,3,0.60206,0,0,'out of focus',2791,3.445915,0
55,1.748188,3,0.60206,0,0,'out of focus',2494,3.397071,1
60,1.78533,0,0,0,0,'out of focus',2399,3.380211,1
68,1.838849,0,0,0,0,'out of focus',2007,3.302764,1
68,1.838849,4,0.69897,4,0.69897,'out of focus',18337,4.263352,0
73,1.869232,14,1.176091,14,1.176091,'out of focus',18364,4.263991,0
83,1.924279,92,1.968483,92,1.968483,'out of focus',18442,4.265832,0
84,1.929419,101,2.0086,101,2.0086,'out of focus',18451,4.266043,0
89,1.954243,137,2.139879,137,2.139879,'out of focus',18487,4.26689,0
95,1.982271,174,2.243038,174,2.243038,'out of focus',18524,4.267758,0
105,2.025306,229,2.361728,208,2.320146,'out of focus',18366,4.264038,0
119,2.079181,323,2.510545,186,2.271842,'out of focus',18370,4.264133,0
162,2.212188,171,2.235528,11,1.079181,'out of focus',3285,3.516668,1
